# CMAP = GRCh38_BspQI_key.txt
# filter: Minimum Labels = 0
# filter: Minimum Size (Kb) = 0.0
1	chr1	248956422.0
2	chr10	133797422.0
3	chr11	135086622.0
4	chr12	133275309.0
5	chr13	114364328.0
6	chr14	107043718.0
7	chr15	101991189.0
8	chr16	90338345.0
9	chr17	83257441.0
10	chr18	80373285.0
11	chr19	58617616.0
12	chr2	242193529.0
13	chr20	64444167.0
14	chr21	46709983.0
15	chr22	50818468.0
16	chr3	198295559.0
17	chr4	190214555.0
18	chr5	181538259.0
19	chr6	170805979.0
20	chr7	159345973.0
21	chr8	145138636.0
22	chr9	138394717.0
23	chrM	16569.0
24	chrX	156040895.0
25	chrY	57227415.0
