# CMAP = human_g1k_v37_key.txt
# filter: Minimum Labels = 0
# filter: Minimum Size (Kb) = 750.0
1	1	249250621.0
2	10	135534747.0
3	11	135006516.0
4	12	133851895.0
5	13	115169878.0
6	14	107349540.0
7	15	102531392.0
8	16	90354753.0
9	17	81195210.0
10	18	78077248.0
11	19	59128983.0
12	2	243199373.0
13	20	63025520.0
14	21	48129895.0
15	22	51304566.0
16	3	198022430.0
17	4	191154276.0
18	5	180915260.0
19	6	171115067.0
20	7	159138663.0
21	8	146364022.0
22	9	141213431.0
23	X	155270560.0
24	Y	59373566.0
