# CMAP = hg19_DLE1_test_key.txt
# filter: Minimum Labels = 0
# filter: Minimum Size (Kb) = 0.0
1	chr1	249250621.0
2	chr10	135534747.0
3	chr11	135006516.0
4	chr12	133851895.0
5	chr13	115169878.0
6	chr14	107349540.0
7	chr15	102531392.0
8	chr16	90354753.0
9	chr17	81195210.0
10	chr18	78077248.0
11	chr19	59128983.0
12	chr2	243199373.0
13	chr20	63025520.0
14	chr21	48129895.0
15	chr22	51304566.0
16	chr3	198022430.0
17	chr4	191154276.0
18	chr5	180915260.0
19	chr6	171115067.0
20	chr7	159138663.0
21	chr8	146364022.0
22	chr9	141213431.0
23	chrM	16571.0
24	chrX	155270560.0
25	chrY	59373566.0
